id,category,feature,airtable,notion,clickup,baserow,nocodb,paperos_issue,paperos_status,tier,notes,source
VT-011,view-types,Dashboard page composing many blocks,paid,partial,yes,paid,no,PAP-173,planned,P0,Airtable Interface Designer; ClickUp Dashboards; Notion needs a page of linked views. Umbrella owns the feature; children own the slices.,https://support.airtable.com/docs/getting-started-with-airtable-views (accessed 2026-09-19)
VT-012,view-types,Workload / capacity view,no,no,yes,no,no,PAP-634,planned,P2,ClickUp Workload visualises team bandwidth.,https://clickup.com/features/views (accessed 2026-09-19)
VT-013,view-types,Activity view (cross-record feed),no,no,yes,no,no,PAP-333,planned,P0,ClickUp Activity; PaperOS ships per-record timelines first.,https://clickup.com/features/views (accessed 2026-09-19)
VT-014,view-types,Pivot / summary table,paid,no,no,no,no,PAP-635,planned,P2,Airtable pivot is an extension; deferred to v0.2.,https://support.airtable.com/docs/getting-started-with-airtable-views (accessed 2026-09-19)
VT-015,view-types,Mind map view,no,no,yes,no,no,gap,wontdo,P2,Declined for v0.1: ClickUp Mind Map has no data-table analogue in PaperOS.,https://clickup.com/features/views (accessed 2026-09-19)
VT-016,view-types,Whiteboard view,no,no,yes,no,no,PAP-132,planned,P0,"ClickUp Whiteboards; owned by the canvas project, not the views engine.",https://clickup.com/features/views (accessed 2026-09-19)
VT-017,view-types,Embed view (iframe of an external tool),no,yes,yes,no,no,PAP-386,planned,P0,ClickUp Embed; lands as a dashboard block kind behind an origin allowlist.,https://clickup.com/features/views (accessed 2026-09-19)
VT-018,view-types,Hierarchy / tree rows inside a table view,no,partial,yes,no,no,PAP-633,planned,P2,ClickUp subtasks in List; Notion sub-items. Deferred to v0.2.,https://clickup.com/features/views (accessed 2026-09-19)
VT-019,view-types,"One dataset, many saved views of different kinds",yes,yes,yes,yes,yes,PAP-623,planned,P0,Airtable: a table can have multiple views and multiple view types.,https://support.airtable.com/docs/getting-started-with-airtable-views (accessed 2026-09-19)
VT-020,view-types,Pluggable renderer registry for new view kinds,no,no,no,partial,partial,PAP-614,planned,P0,Baserow and NocoDB register view types in code; no product exposes it to tenants.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_types.py (accessed 2026-09-19)
VT-021,view-types,Unsupported/unknown view kind survives a round trip,no,no,no,no,no,PAP-993,planned,P0,PaperOS-only: persist unknown kinds with an upgrade hook.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/globals.ts (accessed 2026-09-19)
FT-001,field-types,Single line text,yes,yes,yes,yes,yes,PAP-164,planned,P0,"Airtable Single line text, Baserow text, NocoDB SingleLineText. Umbrella owns the feature; children own the slices.",https://support.airtable.com/docs/supported-field-types-in-airtable-overview (accessed 2026-09-19)
FT-002,field-types,Long text / multi-line,yes,yes,yes,yes,yes,PAP-338,planned,P0,Baserow long_text; NocoDB LongText.,https://support.airtable.com/docs/supported-field-types-in-airtable-overview (accessed 2026-09-19)
FT-003,field-types,Rich text (formatted body),partial,yes,partial,partial,yes,PAP-627,planned,P0,Airtable long text has rich-text toggle; NocoDB has Rich text.,https://nocodb.com/docs/product-docs/fields/fields-overview (accessed 2026-09-19)
FT-004,field-types,Number,yes,yes,yes,yes,yes,PAP-338,planned,P0,NocoDB splits Number and Decimal.,https://nocodb.com/docs/product-docs/fields/fields-overview (accessed 2026-09-19)
FT-005,field-types,Currency,yes,partial,yes,partial,yes,PAP-995,planned,P0,Notion formats a number as currency; Baserow via number options. Money type owns exponent.,https://support.airtable.com/docs/supported-field-types-in-airtable-overview (accessed 2026-09-19)
FT-006,field-types,Percent,yes,partial,no,partial,yes,PAP-338,planned,P0,NocoDB Percent UIType.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/UITypes.ts (accessed 2026-09-19)
FT-007,field-types,Checkbox / boolean,yes,yes,yes,yes,yes,PAP-338,planned,P0,Baserow boolean; NocoDB Checkbox.,https://support.airtable.com/docs/supported-field-types-in-airtable-overview (accessed 2026-09-19)
FT-008,field-types,Rating,yes,no,no,yes,yes,PAP-338,planned,P0,Baserow RatingFieldType; NocoDB Rating.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/field_types.py (accessed 2026-09-19)
FT-009,field-types,URL,yes,yes,yes,yes,yes,PAP-338,planned,P0,Baserow url; NocoDB URL.,https://support.airtable.com/docs/supported-field-types-in-airtable-overview (accessed 2026-09-19)
FT-010,field-types,Email,yes,yes,yes,yes,yes,PAP-338,planned,P0,Baserow EmailField; NocoDB Email.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-011,field-types,Phone number,yes,yes,yes,yes,yes,PAP-338,planned,P0,Baserow PhoneNumberField; NocoDB PhoneNumber.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-012,field-types,Date (no time),yes,yes,yes,yes,yes,PAP-338,planned,P0,Baserow date; NocoDB Date.,https://support.airtable.com/docs/supported-field-types-in-airtable-overview (accessed 2026-09-19)
FT-013,field-types,Date and time with timezone,yes,yes,yes,yes,yes,PAP-338,planned,P0,Baserow date field carries timezone options; NocoDB DateTime.,https://baserow.io/user-docs (accessed 2026-09-19)
FT-014,field-types,Time of day (no date),no,no,no,no,yes,PAP-627,planned,P0,NocoDB Time UIType; Airtable folds it into date formatting.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/UITypes.ts (accessed 2026-09-19)
FT-015,field-types,Duration,yes,no,no,yes,yes,PAP-627,planned,P0,Airtable Duration; Baserow DurationFieldType; NocoDB Duration.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/field_types.py (accessed 2026-09-19)
FT-016,field-types,Single select,yes,yes,yes,yes,yes,PAP-339,planned,P0,Baserow SingleSelectField; NocoDB SingleSelect.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-017,field-types,Multiple select,yes,yes,yes,yes,yes,PAP-339,planned,P0,ClickUp labels; Baserow MultipleSelectField.,https://developer.clickup.com/docs/customfields (accessed 2026-09-19)
FT-018,field-types,Status field with todo/doing/done groups,no,yes,yes,no,no,PAP-339,planned,P0,Notion Status property; select options gain a group in PaperOS.,https://www.notion.com/help/database-properties (accessed 2026-09-19)
FT-019,field-types,User / collaborator (single and multiple),yes,yes,yes,yes,yes,PAP-339,planned,P0,Airtable User; Baserow MultipleCollaboratorsField; NocoDB User and Collaborator.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-020,field-types,Attachment / file,yes,yes,yes,yes,yes,PAP-339,planned,P0,Notion File; Baserow FileField; NocoDB Attachment.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-021,field-types,Link to another record (relation),yes,yes,yes,yes,yes,PAP-340,planned,P0,Baserow LinkRowField; NocoDB Links and LinkToAnotherRecord.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-022,field-types,Lookup of a linked record's field,yes,yes,no,yes,yes,PAP-340,planned,P0,Baserow LookupField; NocoDB Lookup.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-023,field-types,Rollup (aggregate over linked records),yes,yes,no,yes,yes,PAP-340,planned,P0,Baserow RollupField; NocoDB Rollup.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-024,field-types,Formula,yes,yes,yes,yes,yes,PAP-382,planned,P0,Baserow FormulaField; NocoDB Formula.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-025,field-types,Autonumber,yes,partial,no,yes,yes,PAP-616,planned,P0,Notion ID property; Baserow AutonumberField; NocoDB AutoNumber.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-026,field-types,Created time,yes,yes,yes,yes,yes,PAP-616,planned,P0,Baserow created_on; NocoDB CreatedTime.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/field_types.py (accessed 2026-09-19)
FT-027,field-types,Last modified time,yes,yes,yes,yes,yes,PAP-616,planned,P0,Baserow last_modified; NocoDB LastModifiedTime.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/field_types.py (accessed 2026-09-19)
FT-028,field-types,Created by,yes,yes,yes,yes,yes,PAP-616,planned,P0,Baserow created_by; NocoDB CreatedBy.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/field_types.py (accessed 2026-09-19)
FT-029,field-types,Last modified by,yes,yes,no,yes,yes,PAP-616,planned,P0,Baserow last_modified_by; NocoDB LastModifiedBy.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/field_types.py (accessed 2026-09-19)
FT-030,field-types,Button field triggering an action,yes,yes,no,yes,yes,PAP-389,planned,P0,Notion Button property; Baserow ButtonField; NocoDB Button.,https://www.notion.com/help/database-properties (accessed 2026-09-19)
FT-031,field-types,Barcode field,yes,no,no,no,yes,gap,wontdo,P2,Declined for v0.1: Airtable Barcode and NocoDB Barcode; no PaperOS demand yet.,https://support.airtable.com/docs/supported-field-types-in-airtable-overview (accessed 2026-09-19)
FT-032,field-types,QR code field,no,no,no,no,yes,gap,wontdo,P2,Declined for v0.1: NocoDB QrCode only.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/UITypes.ts (accessed 2026-09-19)
FT-033,field-types,Geo / location point,no,yes,yes,no,yes,PAP-622,planned,P0,Notion Place; ClickUp location; NocoDB GeoData and Geometry.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/UITypes.ts (accessed 2026-09-19)
FT-034,field-types,JSON field,no,no,no,no,yes,PAP-627,planned,P0,NocoDB JSON UIType.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/UITypes.ts (accessed 2026-09-19)
FT-035,field-types,Progress / percent-complete field,no,no,yes,no,no,PAP-627,planned,P0,ClickUp automatic_progress and manual_progress.,https://developer.clickup.com/docs/customfields (accessed 2026-09-19)
FT-036,field-types,UUID field,no,no,no,yes,yes,PAP-616,planned,P0,Baserow UUIDField; NocoDB UUID.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-037,field-types,Password field,no,no,no,yes,no,gap,wontdo,P2,Declined for v0.1: Baserow PasswordField; credentials do not belong in a dataset.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
FT-038,field-types,AI / agent-computed field,paid,paid,paid,paid,no,PAP-637,planned,P2,Baserow premium AI field; Notion AI autofill. Deferred to v0.2.,https://baserow.io/user-docs (accessed 2026-09-19)
FO-001,field-options,Field description / help text,yes,yes,yes,yes,yes,PAP-161,planned,P0,FieldDef.description reserved in the view model.,https://baserow.io/user-docs (accessed 2026-09-19)
FO-002,field-options,Required field,no,no,yes,partial,yes,PAP-338,planned,P0,Baserow field value constraints; NocoDB not-null.,https://baserow.io/user-docs (accessed 2026-09-19)
FO-003,field-options,Unique constraint,no,yes,no,yes,yes,PAP-338,planned,P0,Baserow field value constraints include uniqueness.,https://baserow.io/user-docs (accessed 2026-09-19)
FO-004,field-options,Min / max / pattern validation,no,no,no,partial,partial,PAP-338,planned,P0,Round-4 amendment adds per-type validation options.,https://baserow.io/user-docs (accessed 2026-09-19)
FO-005,field-options,Default value (static),no,yes,yes,yes,yes,PAP-628,planned,P0,Notion property defaults in templates.,https://baserow.io/user-docs (accessed 2026-09-19)
FO-006,field-options,"Default value (dynamic token, e.g. today)",no,yes,partial,no,no,PAP-628,planned,P0,PaperOS uses dynamic tokens shared with the filter grammar.,https://www.notion.com/help/database-properties (accessed 2026-09-19)
FO-007,field-options,Select option colours,yes,yes,yes,yes,yes,PAP-339,planned,P0,Drives row colouring and kanban column colour.,https://baserow.io/user-docs (accessed 2026-09-19)
FO-008,field-options,"Number formatting (precision, separators, suffix)",yes,yes,yes,yes,yes,PAP-338,planned,P0,Baserow number options.,https://baserow.io/user-docs (accessed 2026-09-19)
FO-009,field-options,Date format and timezone per field,yes,yes,yes,yes,yes,PAP-338,planned,P0,Baserow documents working with timezones per field.,https://baserow.io/user-docs (accessed 2026-09-19)
FO-010,field-options,Field grouping in the record panel,no,no,partial,no,no,PAP-161,planned,P0,FieldDef.group reserved; ClickUp groups custom fields on the task panel.,https://www.notion.com/help/database-properties (accessed 2026-09-19)
FO-011,field-options,Field indexes for large tables,no,no,no,yes,yes,PAP-337,planned,P0,Baserow field indexes doc.,https://baserow.io/user-docs (accessed 2026-09-19)
FO-012,field-options,Per-field read/write permission,no,no,partial,paid,no,PAP-638,planned,P2,Baserow enterprise field-level roles. Deferred to v0.2.,https://baserow.io/user-docs (accessed 2026-09-19)
FTX-001,filters-text,is / equal,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow equal.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FTX-002,filters-text,is not / not equal,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow not_equal.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FTX-003,filters-text,contains,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow contains.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FTX-004,filters-text,does not contain,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow contains_not.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FTX-005,filters-text,contains word (whole word match),no,no,no,yes,no,PAP-335,planned,P0,Baserow contains_word / doesnt_contain_word.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FTX-006,filters-text,starts with,no,yes,yes,yes,yes,PAP-335,planned,P0,Baserow starts_with.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FTX-007,filters-text,ends with,no,yes,yes,yes,yes,PAP-335,planned,P0,Baserow ships ends_with alongside starts_with in the same registry.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FTX-008,filters-text,length is lower than,no,no,no,yes,no,PAP-335,planned,P0,Baserow length_is_lower_than.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FTX-009,filters-text,is empty,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow empty.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FTX-010,filters-text,is not empty,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow not_empty.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FTX-011,filters-text,regular expression match,no,no,no,no,no,gap,wontdo,P2,Declined for v0.1: reachable through a formula field plus a boolean filter.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FNU-001,filters-number,equals,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow equal on number fields.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FNU-002,filters-number,not equals,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow not_equal.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FNU-003,filters-number,greater than,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow higher_than.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FNU-004,filters-number,greater than or equal,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow higher_than_or_equal.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FNU-005,filters-number,less than,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow lower_than.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FNU-006,filters-number,less than or equal,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow lower_than_or_equal.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FNU-007,filters-number,is even and whole,no,no,no,yes,no,gap,wontdo,P2,Declined for v0.1: Baserow is_even_and_whole is a novelty operator.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FNU-008,filters-number,between (inclusive range),no,no,no,partial,partial,PAP-335,planned,P0,Expressed as two conditions in most products; PaperOS ships one operator.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-001,filters-date,is on date,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow date_is / date_equal.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-002,filters-date,is before,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow date_is_before.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-003,filters-date,is on or before,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow date_is_on_or_before.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-004,filters-date,is after,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow date_is_after.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-005,filters-date,is on or after,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow date_is_on_or_after.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-006,filters-date,is within (range),yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow date_is_within.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-007,filters-date,is today,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow date_equals_today.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-008,filters-date,is before today / after today,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow date_before_today and date_after_today.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-009,filters-date,this week / month / year,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow date_equals_week / _month / _year.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-010,filters-date,in the next N days/weeks/months,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow date_within_days / _weeks / _months.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-011,filters-date,N days/months/years ago,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow date_equals_days_ago / _months_ago / _years_ago.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-012,filters-date,day of month equals,no,no,no,yes,no,PAP-335,planned,P0,Baserow date_equals_day_of_month.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FDT-013,filters-date,relative date anchored to another field,no,yes,partial,no,no,PAP-617,planned,P0,Notion allows comparing a date against a formula; PaperOS uses dynamic values.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
FDT-014,filters-date,timezone-aware evaluation of relative dates,yes,yes,yes,yes,partial,PAP-335,planned,P0,Baserow stores a timezone on date filters.,https://baserow.io/user-docs (accessed 2026-09-19)
FCH-001,filters-choice-relation-user,single select is / is not,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow single_select_equal / single_select_not_equal.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-002,filters-choice-relation-user,single select is any of / none of,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow single_select_is_any_of / is_none_of.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-003,filters-choice-relation-user,multi select has / has not,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow multiple_select_has / has_not.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-004,filters-choice-relation-user,multi select has all of,yes,yes,partial,partial,partial,PAP-335,planned,P0,Airtable 'has all of'.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-005,filters-choice-relation-user,relation has linked record,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow link_row_has / link_row_has_not.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-006,filters-choice-relation-user,relation contains text of linked primary,no,no,no,yes,partial,PAP-335,planned,P0,Baserow link_row_contains / link_row_not_contains.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-007,filters-choice-relation-user,user is / is not,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow user_is / user_is_not.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-008,filters-choice-relation-user,collaborator field has / has not,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow multiple_collaborators_has / has_not.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-009,filters-choice-relation-user,checkbox is true / false,yes,yes,yes,yes,yes,PAP-335,planned,P0,Baserow boolean.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-010,filters-choice-relation-user,attachment filename contains,yes,no,no,yes,no,PAP-335,planned,P0,Baserow filename_contains.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-011,filters-choice-relation-user,attachment has file type (image/document),yes,no,no,yes,no,PAP-335,planned,P0,Baserow has_file_type.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-012,filters-choice-relation-user,attachment count lower than,no,no,no,yes,no,PAP-335,planned,P0,Baserow files_lower_than.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FCH-013,filters-choice-relation-user,filter on a lookup or rollup value,yes,yes,no,yes,yes,PAP-340,planned,P0,Round-4 amendment: filter linked records before projection.,https://baserow.io/user-docs (accessed 2026-09-19)
FST-001,filter-structure,Multiple conditions with AND,yes,yes,yes,yes,yes,PAP-279,planned,P0,Universal.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
FST-002,filter-structure,Multiple conditions with OR,yes,yes,yes,yes,yes,PAP-166,planned,P0,Universal. Umbrella owns the feature; children own the slices.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
FST-003,filter-structure,Nested condition groups,yes,yes,yes,yes,yes,PAP-617,planned,P0,Notion advanced filters nest up to three layers; Baserow advanced row filter.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
FST-004,filter-structure,Nesting depth limit stated,no,yes,no,no,no,PAP-279,planned,P0,Notion states three layers; PaperOS caps at depth 6 and rejects deeper trees.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
