name,airtable_name,notion_name,category,signature,tier,paperos_status
HOUR,HOUR,hour,date,hour(date) -> number,P1,planned
MINUTE,MINUTE,minute,date,minute(date) -> number,P1,planned
SECOND,SECOND,-,date,second(date) -> number,P1,planned
WEEKDAY,WEEKDAY,day,date,"weekday(date, startDay?) -> number",P1,planned
WEEKNUM,WEEKNUM,week,date,weeknum(date) -> number,P1,planned
WORKDAY,WORKDAY,-,date,"workday(date, count, holidays?) -> date",P1,planned
WORKDAY_DIFF,WORKDAY_DIFF,-,date,"workday_diff(a, b, holidays?) -> number",P1,planned
IS_BEFORE,IS_BEFORE,-,date,"is_before(a, b) -> boolean",P0,planned
IS_AFTER,IS_AFTER,-,date,"is_after(a, b) -> boolean",P0,planned
IS_SAME,IS_SAME,-,date,"is_same(a, b, unit?) -> boolean",P1,planned
TONOW,TONOW,dateBetween,date,tonow(date) -> number,P1,planned
FROMNOW,FROMNOW,dateBetween,date,fromnow(date) -> number,P1,planned
TIMESTAMP,-,timestamp,date,timestamp(date) -> number,P1,planned
FROM_TIMESTAMP,-,fromTimestamp,date,from_timestamp(number) -> datetime,P1,planned
DATE_START,-,dateStart,date,date_start(range) -> datetime,P1,planned
DATE_END,-,dateEnd,date,date_end(range) -> datetime,P1,planned
DATE_RANGE,-,dateRange,date,"date_range(start, end) -> range",P1,planned
SET_TIMEZONE,SET_TIMEZONE,-,date,"set_timezone(date, tz) -> datetime",P1,planned
SET_LOCALE,SET_LOCALE,-,date,"set_locale(date, locale) -> datetime",P1,planned
ARRAY_COMPACT,ARRAYCOMPACT,filter,array,array_compact(list) -> list,P1,planned
ARRAY_FLATTEN,ARRAYFLATTEN,flat,array,array_flatten(list) -> list,P1,planned
ARRAY_UNIQUE,ARRAYUNIQUE,unique,array,array_unique(list) -> list,P1,planned
ARRAY_SLICE,ARRAYSLICE,slice,array,"array_slice(list, start, end?) -> list",P1,planned
FIRST,-,first,array,first(list) -> any,P1,planned
LAST,-,last,array,last(list) -> any,P1,planned
AT,-,at,array,"at(list, index) -> any",P1,planned
SORT,-,sort,array,"sort(list, by?) -> list",P1,planned
REVERSE,-,reverse,array,reverse(list) -> list,P1,planned
INCLUDES,-,includes,array,"includes(list, value) -> boolean",P1,planned
FILTER,-,filter,array,"filter(list, predicate) -> list",P1,planned
MAP,-,map,array,"map(list, expression) -> list",P1,planned
SOME,-,some,array,"some(list, predicate) -> boolean",P1,planned
EVERY,-,every,array,"every(list, predicate) -> boolean",P1,planned
FIND_INDEX,-,findIndex,array,"find_index(list, predicate) -> number",P1,planned
RECORD_ID,RECORD_ID,id,record,record_id() -> text,P0,planned
CREATED_TIME,CREATED_TIME,-,record,created_time() -> datetime,P1,planned
LAST_MODIFIED_TIME,LAST_MODIFIED_TIME,-,record,last_modified_time(field?) -> datetime,P1,planned
CURRENT_USER,-,-,record,current_user() -> user,P1,planned
USER_NAME,-,name,record,user_name(user) -> text,P1,planned
USER_EMAIL,-,email,record,user_email(user) -> text,P1,planned
LET,-,let,binding,"let(name, value, body) -> any",P2,planned
LETS,-,lets,binding,"lets(name, value, ..., body) -> any",P2,planned
